city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Andong,Andong,36.5592,128.7289,South Korea,KR,KOR,Gyeongbuk,admin,162180,1410095935
≈¨iwang,Uiwang,37.3448,126.9683,South Korea,KR,KOR,Gyeonggi,,154879,1410211816
Hanam,Hanam,37.5167,127.2,South Korea,KR,KOR,Gyeonggi,,154838,1410241338
Seogwipo,Seogwipo,33.2497,126.56,South Korea,KR,KOR,Jeju,,153861,1410542763
Gwangyang,Gwangyang,34.9333,127.6833,South Korea,KR,KOR,Jeonnam,minor,151834,1410398748
Jicheon,Jicheon,36.1333,128.1,South Korea,KR,KOR,Gyeongbuk,,139477,1410269252
Ch?ôungmu,Ch'ungmu,34.8333,128.4167,South Korea,KR,KOR,Gyeongnam,,137208,1410257662
Chech?ô≈èn,Chech'on,37.1333,128.2167,South Korea,KR,KOR,Chungbuk,,136350,1410470747
Noksan,Noksan,36.2039,127.0847,South Korea,KR,KOR,Chungnam,,124246,1410179693
Tangjin,Tangjin,36.8931,126.6281,South Korea,KR,KOR,Chungnam,,117409,1410304730
Sach?ôon,Sach'on,35.0667,128.0833,South Korea,KR,KOR,Gyeongnam,,114556,1410555312
Sa-ch?ôon,Sa-ch'on,35.2347,128.3575,South Korea,KR,KOR,Gyeongnam,,113335,1410369367
Hosan,Hosan,36.2,127.0833,South Korea,KR,KOR,Chungnam,,112939,1410009966
Jeonghae,Jeonghae,35.5667,126.85,South Korea,KR,KOR,Jeonbuk,,110194,1410005963
Y≈èju,Yoju,37.3,127.6333,South Korea,KR,KOR,Gyeonggi,,109937,1410007012
Y≈èngju,Yongju,36.8058,128.6239,South Korea,KR,KOR,Gyeongbuk,,109266,1410990908
Miryang,Miryang,35.5,128.75,South Korea,KR,KOR,Gyeongnam,,103069,1410001039
Sangju,Sangju,36.44,128.17,South Korea,KR,KOR,Gyeongbuk,,102892,1410127055
Boryeong,Boryeong,36.3333,126.6167,South Korea,KR,KOR,Chungnam,minor,101852,1410204364
Hongseong,Hongseong,36.6009,126.665,South Korea,KR,KOR,Chungnam,admin,,1410822139
Muan,Muan,34.9897,126.4714,South Korea,KR,KOR,Jeonnam,admin,,1410001061
Dongducheon,Dongducheon,37.9167,127.0667,South Korea,KR,KOR,Gyeonggi,,97424,1410519938
Naju,Naju,35.0333,126.7167,South Korea,KR,KOR,Jeonnam,minor,92582,1410651571
Kimje,Kimje,35.8017,126.8889,South Korea,KR,KOR,Jeonbuk,,88479,1410051393
Sokcho,Sokcho,38.2069,128.5919,South Korea,KR,KOR,Gangwon,minor,79846,1410921315
Mun?ôgy≈èng,Mun'gyong,36.5939,128.2014,South Korea,KR,KOR,Gyeongbuk,,71863,1410822576
Samch?ô≈èk,Samch'ok,37.45,129.165,South Korea,KR,KOR,Gangwon,,69509,1410438648
Pongnam,Pongnam,37.22,126.9494,South Korea,KR,KOR,Gyeonggi,,67694,1410174724
Gwacheon,Gwacheon,37.4333,127,South Korea,KR,KOR,Gyeonggi,,64817,1410788896
Haeryong,Haeryong,34.9131,127.5394,South Korea,KR,KOR,Jeonnam,minor,46994,1410002389
Taebaek,Taebaek,37.1667,128.9833,South Korea,KR,KOR,Gangwon,,46715,1410565787
Jeomchon,Jeomchon,36.6028,127.3042,South Korea,KR,KOR,Chungbuk,,46452,1410262248
Yeonil,Yeonil,36,129.35,South Korea,KR,KOR,Gyeongbuk,,34560,1410520135
Heunghae,Heunghae,36.1167,129.35,South Korea,KR,KOR,Gyeongbuk,minor,34328,1410289558
An?ôgang,An'gang,35.99,129.227,South Korea,KR,KOR,Gyeongbuk,,33333,1410507369
Munsan,Munsan,37.8529,126.7848,South Korea,KR,KOR,Gyeonggi,,28880,1410851571
Hayang,Hayang,35.9167,128.8167,South Korea,KR,KOR,Gyeongbuk,,27236,1410183086
Hallim,Hallim,33.3729,126.2827,South Korea,KR,KOR,Jeju,,22087,1410693280
Kujwa,Kujwa,33.5025,126.7944,South Korea,KR,KOR,Jeju,,16116,1410125260
Ulchin,Ulchin,37.0013,129.3449,South Korea,KR,KOR,Gyeongbuk,,14426,1410704555
Daean,Daean,35.4038,129.2788,South Korea,KR,KOR,Ulsan,,14037,1410996164
Sapkyo,Sapkyo,36.6864,126.7367,South Korea,KR,KOR,Chungnam,,10075,1410000740
Eumseong,Eumseong,36.9353,127.6897,South Korea,KR,KOR,Chungbuk,,10077,1410812829
Guryongpo,Guryongpo,35.9833,129.55,South Korea,KR,KOR,Gyeongbuk,minor,9099,1410226868
Seosaeng,Seosaeng,35.3536,129.3303,South Korea,KR,KOR,Ulsan,,8650,1410000467
P?ôy≈èngch?ôang,P'yongch'ang,37.3675,128.3958,South Korea,KR,KOR,Gangwon,,9940,1410797147
